ITEM: TIMESTEP
13225
ITEM: NUMBER OF ATOMS
2927
ITEM: BOX BOUNDS pp pp pp
-2.0174776239694991e+00 1.3559208562396901e+02
1.7541432723851027e-02 2.2244893567276108e+01
7.8240202608196047e-03 1.0552175979739211e+01
ITEM: ATOMS id type x y z c_eng
2615 1 100.272 9.31578 0.332502 -4.44982
1569 1 100.829 7.64559 2.08989 -4.44982
2546 1 102.5 8.19182 0.332502 -4.44982
1572 1 103.057 6.52163 2.08989 -4.44982
1642 1 104.171 8.73805 2.08989 -4.44982
2548 1 104.728 7.06786 0.332502 -4.44982
2620 1 105.842 9.28429 0.332502 -4.44982
1575 1 106.399 7.61409 2.08989 -4.44982
2552 1 108.071 8.16032 0.332502 -4.44982
1578 1 108.628 6.49013 2.08989 -4.44982
1647 1 109.742 8.70656 2.08989 -4.44982
2554 1 110.299 7.03636 0.332502 -4.44982
2625 1 111.413 9.2528 0.332502 -4.44982
1582 1 111.97 7.5826 2.08989 -4.44982
1584 1 114.198 6.45863 2.08989 -4.44982
2558 1 113.641 8.12883 0.332502 -4.44982
1653 1 115.312 8.67507 2.08989 -4.44982
2560 1 115.869 7.00487 0.332502 -4.44982
2630 1 116.983 9.22131 0.332502 -4.44982
1587 1 117.54 7.55111 2.08989 -4.44982
1589 1 119.768 6.42714 2.08989 -4.44982
2565 1 119.211 8.09735 0.332502 -4.44981
1659 1 120.883 8.64359 2.08989 -4.44981
1593 1 123.111 7.51965 2.08989 -4.44979
2567 1 121.44 6.97339 0.332502 -4.4498
2636 1 122.554 9.18979 0.332502 -4.44984
1595 1 125.339 6.39578 2.08989 -4.44971
2571 1 124.782 8.06578 0.332502 -4.44988
1665 1 126.453 8.61179 2.08989 -4.45009
1599 1 128.683 7.48698 2.08989 -4.45099
2573 1 127.011 6.94172 0.332502 -4.45
2642 1 128.123 9.15867 0.332502 -4.44957
1671 1 132.014 8.58572 2.08989 -4.41254
2577 1 130.348 8.03491 0.332502 -4.44647
2581 1 132.568 6.91492 0.332502 -4.42145
1605 1 134.231 7.49068 2.08989 -4.29412
2648 1 133.727 9.13287 0.332502 -4.2371
210 1 -0.715276 10.1142 0.332502 -4.1622
211 1 0.874694 10.6597 2.08989 -4.12212
212 1 0.470254 12.3569 0.332502 -4.31837
213 1 -1.25181 11.7961 2.08989 -4.24872
214 1 3.52437 12.3112 0.332502 -4.35604
215 1 3.12321 10.6208 2.08989 -4.1585
217 1 4.66874 10.0473 0.332502 -4.37744
